1356,826,1
5668,90,1
3458,1051,1
4472,224,1
5266,1200,1
5253,1038,1
2757,340,1
2957,245,1
4813,420,1
1499,514,1
535,1261,1
1367,660,1
1122,1245,1
3698,346,1
5013,349,1
4323,632,1
5150,1200,1
2460,768,1
3542,209,1
3227,1291,1
2836,31,1
4293,1024,1
3188,1158,1
2483,778,1
2005,633,1
3059,998,1
3879,355,1
2978,1257,1
3208,1004,1
3706,540,1
3710,343,1
1582,128,1
4406,774,1
3444,913,1
5539,567,1
1171,1016,1
999,189,1
4048,325,1
3956,1301,1
4001,347,1
4562,1146,1
2442,799,1
3019,1209,1
4556,141,1
1956,600,1
883,338,1
3649,997,1
3154,1179,1
4749,643,1
1284,638,1
834,540,1
5765,97,1
3949,462,1
1551,135,1
5454,191,1
4619,302,1
4375,961,1
936,192,1
1847,884,1
1871,1160,1
3694,350,1
2429,630,1
3952,813,1
167,183,1
699,328,1
2749,1072,1
3331,161,1
618,1303,1
4995,1215,1
3290,1319,1
1253,239,1
742,176,1
2112,895,1
3637,446,1
147,152,1
2242,573,1
1695,830,1
5119,650,1
5305,704,1
4824,1095,1
343,660,1
4423,1029,1
5815,120,1
937,882,1
1144,721,1
2288,613,1
1128,350,1
4276,33,1
3219,741,1
2050,1251,1
3234,1024,1
3335,717,1
4216,1243,1
640,650,1
4980,489,1
2455,1293,1
318,510,1
123,229,1
3396,1175,1
4883,1055,1
3853,1163,1
1081,906,1
2180,1292,1
1871,1088,1
249,945,1
5264,1024,1
2265,559,1
313,346,1
3142,767,1
5816,421,1
2422,356,1
2188,52,1
1542,338,1
4799,927,1
5823,927,1
5470,295,1
5371,884,1
5775,1209,1
5797,825,1
5553,643,1
3022,1109,1
1520,376,1
5349,948,1
4474,829,1
241,1016,1
1136,1026,1
4656,27,1
3590,319,1
3690,129,1
1068,135,1
2683,882,1
4706,1221,1
59,275,1
2781,560,1
5430,117,1
5264,934,1
3138,837,1
3698,540,1
3411,455,1
278,502,1
4786,365,1
800,1024,1
1742,227,1
5605,1286,1
1697,1256,1
5822,259,1
417,357,1
3438,1105,1
2541,364,1
711,154,1
3693,1187,1
651,884,1
5721,27,1
4466,1135,1
4049,196,1
399,154,1
3896,1024,1
2271,55,1
3268,343,1
2126,1185,1
3604,1257,1
2017,717,1
2178,633,1
1400,226,1
5282,573,1
840,236,1
3026,473,1
1051,585,1
222,1243,1
1960,336,1
2174,913,1
2821,827,1
5635,91,1
5143,126,1
1207,356,1
129,738,1
1130,986,1
347,1259,1
4099,340,1
2331,1285,1
4149,633,1
10,1147,1
568,357,1
1348,733,1
2002,536,1
4810,53,1
412,1243,1
5686,966,1
94,1103,1
2039,1046,1
1574,615,1
1830,1166,1
2652,248,1
799,1243,1
1893,31,1
5398,892,1
2022,1257,1
1942,347,1
3541,1137,1
3832,540,1
4537,151,1
591,336,1
1961,115,1
4301,489,1
1819,1046,1
4211,533,1
1840,31,1
552,369,1
4560,245,1
3423,936,1
1697,1258,1
3649,603,1
1022,315,1
1809,663,1
5594,540,1
3719,1185,1
5440,1166,1
2142,476,1
4353,359,1
2976,245,1
5394,721,1
2014,1271,1
1807,662,1
957,1243,1
168,660,1
2082,264,1
73,892,1
4555,257,1
5797,534,1
34,152,1
4656,966,1
3107,1180,1
466,282,1
2532,527,1
4279,1017,1
2036,633,1
4841,646,1
5050,1175,1
4149,1096,1
899,503,1
5490,1166,1
4603,30,1
3573,485,1
5681,648,1
2671,1177,1
2286,1055,1
4175,1257,1
5866,27,1
1675,325,1
194,770,1
4530,1283,1
4333,465,1
2438,585,1
5711,927,1
4668,78,1
5016,1218,1
4356,127,1
5838,154,1
87,216,1
2483,1080,1
3164,1179,1
4038,966,1
1745,674,1
5743,135,1
2674,648,1
4608,52,1
1990,340,1
1879,1194,1
840,1026,1
3105,140,1
3740,834,1
3679,478,1
5645,416,1
647,1150,1
4642,1038,1
3103,360,1
1127,1083,1
4481,319,1
4177,1096,1
3372,1041,1
2516,1149,1
4167,313,1
3749,439,1
605,181,1
3416,245,1
3531,259,1
2620,573,1
902,369,1
291,343,1
1069,540,1
2944,948,1
2946,632,1
1722,633,1
4796,747,1
2167,540,1
4895,633,1
554,409,1
2609,600,1
4447,913,1
1401,497,1
3223,543,1
3119,566,1
2937,339,1
1090,837,1
400,1251,1
1531,1247,1
414,489,1
852,632,1
3717,633,1
2627,991,1
4786,141,1
62,155,1
5434,369,1
1330,921,1
4604,249,1
4671,1259,1
4276,587,1
5514,985,1
5234,927,1
2964,913,1
4436,951,1
2138,340,1
5180,331,1
4452,15,1
